planets,natal_sign,natal_degree,rx,progressed_sign,progressed_degree,rx,transit_sign,transit_degree,rx
Sun,sag,10,0,cap,20,0,can,22,0
Moon,aqu,12,0,leo,4,0,vir,20,0
Mercury,sag,5,0,aqu,7,0,can,4,0
Venus,cap,25,0,aqu,6,0,leo,3,0
Mars,vir,23,0,lib,10,0,leo,11,0
Jupiter,sco,1,0,sco,7,0,pis,2,1
Saturn,lib,19,0,lib,21,0,aqu,12,0
Uranus,sag,0,0,sag,3,0,tau,13,0
Neptune,sag,25,0,sag,25,0,pis,23,0
Pluto,lib,25,0,lib,26,0,cap,25,0
nn,can,23,0,can,22,0,gem,10,0
sn,cap,23,0,cap,22,0,sag,10,0
asc,lib,2,0,sco,6,0,lib,21,0
mc,can,2,0,leo,9,0,pis,6,0
